,Hour,Point,Energy
0,0,4.939159393310547,95.0
1,1,8.347458839416504,120.0
2,2,8.082200050354004,200.0
3,3,8.238666534423828,210.0
4,4,1.1645936965942383,180.0
5,5,9.731005668640137,250.0
6,6,6.332704544067383,365.0
7,7,8.302401542663574,310.0
8,8,8.093182563781738,220.0
9,9,4.565672874450684,140.0
10,0,9.006049156188965,95.0
11,1,9.79931354522705,120.0
12,2,9.740371704101562,200.0
13,3,9.73186206817627,210.0
14,4,3.895167112350464,180.0
15,5,9.276998519897461,250.0
16,6,9.97796630859375,365.0
17,7,8.63414192199707,310.0
18,8,9.917248725891113,220.0
19,9,7.038521766662598,140.0
20,0,9.644743919372559,95.0
21,1,0.4028434753417969,120.0
22,2,9.590841293334961,200.0
23,3,6.969541549682617,210.0
24,4,9.341819763183594,180.0
25,5,7.874632835388184,250.0
26,6,6.922601699829102,365.0
27,7,7.222137928009033,310.0
28,8,8.991718292236328,220.0
29,9,0.20781183242797852,140.0
30,0,8.185585021972656,95.0
31,1,9.949322700500488,120.0
32,2,9.710994720458984,200.0
33,3,9.10699462890625,210.0
34,4,2.826357364654541,180.0
35,5,7.948223114013672,250.0
36,6,9.986053466796875,365.0
37,7,7.0449419021606445,310.0
38,8,9.515239715576172,220.0
39,9,8.882777214050293,140.0
40,0,8.65408706665039,95.0
41,1,9.309013366699219,120.0
42,2,5.682864665985107,200.0
43,3,3.0178916454315186,210.0
44,4,7.910213470458984,180.0
45,5,1.1238675117492676,250.0
46,6,9.710572242736816,365.0
47,7,7.917994976043701,310.0
48,8,3.4600143432617188,220.0
49,9,5.197649002075195,140.0
50,0,9.058152198791504,95.0
51,1,4.6895928382873535,120.0
52,2,6.6197896003723145,200.0
53,3,6.964682102203369,210.0
54,4,9.53799057006836,180.0
55,5,7.069555282592773,250.0
56,6,8.163143157958984,365.0
57,7,1.6140220165252686,310.0
58,8,5.233374118804932,220.0
59,9,7.461935997009277,140.0
60,0,3.1968464851379395,95.0
61,1,5.113562107086182,120.0
62,2,6.586928844451904,200.0
63,3,7.049890995025635,210.0
64,4,9.62729263305664,180.0
65,5,7.289388656616211,250.0
66,6,7.442704677581787,365.0
67,7,8.700748443603516,310.0
68,8,9.023120880126953,220.0
69,9,9.78486442565918,140.0
70,0,7.137097358703613,95.0
71,1,9.503069877624512,120.0
72,2,5.791160583496094,200.0
73,3,7.226167678833008,210.0
74,4,6.350696086883545,180.0
75,5,7.737065315246582,250.0
76,6,7.236821174621582,365.0
77,7,8.011724472045898,310.0
78,8,6.110809326171875,220.0
79,9,9.182433128356934,140.0
80,0,6.9843034744262695,95.0
81,1,6.7754387855529785,120.0
82,2,3.9744081497192383,200.0
83,3,8.24357795715332,210.0
84,4,6.187725067138672,180.0
85,5,7.748128414154053,250.0
86,6,6.249248504638672,365.0
87,7,3.980919122695923,310.0
88,8,3.8362112045288086,220.0
89,9,3.597008228302002,140.0
90,0,4.506643772125244,95.0
91,1,4.958050727844238,120.0
92,2,6.793157577514648,200.0
93,3,8.044034004211426,210.0
94,4,5.894322395324707,180.0
95,5,5.827975273132324,250.0
96,6,5.502835750579834,365.0
97,7,5.880104064941406,310.0
98,8,6.911862373352051,220.0
99,9,5.962400436401367,140.0
100,0,7.0005950927734375,95.0
101,1,6.343257427215576,120.0
102,2,8.183536529541016,200.0
103,3,7.324710845947266,210.0
104,4,5.494717597961426,180.0
105,5,6.684703826904297,250.0
106,6,3.761098861694336,365.0
107,7,7.948376178741455,310.0
108,8,6.1889190673828125,220.0
109,9,7.762015342712402,140.0
110,0,5.775109767913818,95.0
111,1,7.953035354614258,120.0
112,2,7.836524963378906,200.0
113,3,8.206363677978516,210.0
114,4,6.1201300621032715,180.0
115,5,8.228407859802246,250.0
116,6,6.698894023895264,365.0
117,7,6.553250312805176,310.0
118,8,7.817865371704102,220.0
119,9,7.587735176086426,140.0
120,0,6.92405891418457,95.0
121,1,7.734097003936768,120.0
122,2,7.217418193817139,200.0
123,3,5.890775680541992,210.0
124,4,6.611642837524414,180.0
125,5,5.790600776672363,250.0
126,6,6.7520751953125,365.0
127,7,6.64279317855835,310.0
128,8,7.431532859802246,220.0
129,9,4.513931751251221,140.0
130,0,5.222858428955078,95.0
131,1,5.452374458312988,120.0
132,2,6.574165344238281,200.0
133,3,5.330506324768066,210.0
134,4,5.634146690368652,180.0
135,5,4.552854061126709,250.0
136,6,5.058610916137695,365.0
137,7,6.757960319519043,310.0
138,8,7.042618274688721,220.0
139,9,6.79600191116333,140.0
140,0,5.801906585693359,95.0
141,1,7.836309432983398,120.0
142,2,7.542630195617676,200.0
143,3,7.167634010314941,210.0
144,4,7.537120342254639,180.0
145,5,7.1899542808532715,250.0
146,6,6.39772891998291,365.0
147,7,6.0904741287231445,310.0
148,8,5.633848190307617,220.0
149,9,5.81903076171875,140.0
150,0,5.231982707977295,95.0
151,1,5.7050395011901855,120.0
152,2,4.713233470916748,200.0
153,3,5.271936893463135,210.0
154,4,6.053192138671875,180.0
155,5,5.822024345397949,250.0
156,6,5.927407741546631,365.0
157,7,5.664921760559082,310.0
158,8,5.21350622177124,220.0
159,9,6.783412933349609,140.0
160,0,5.047407150268555,95.0
161,1,4.33793830871582,120.0
162,2,7.044878005981445,200.0
163,3,5.336452960968018,210.0
164,4,5.925314426422119,180.0
165,5,5.034158229827881,250.0
166,6,5.751067638397217,365.0
167,7,5.1161723136901855,310.0
168,8,5.42915153503418,220.0
169,9,5.575541973114014,140.0
170,0,5.407679080963135,95.0
171,1,5.928594589233398,120.0
172,2,5.910637378692627,200.0
173,3,5.158790588378906,210.0
174,4,5.555938243865967,180.0
175,5,5.541436195373535,250.0
176,6,5.160650730133057,365.0
177,7,5.74614143371582,310.0
178,8,4.987943649291992,220.0
179,9,6.280393600463867,140.0
180,0,5.878105163574219,95.0
181,1,4.754638671875,120.0
182,2,5.575997829437256,200.0
183,3,5.2842888832092285,210.0
184,4,5.30063009262085,180.0
185,5,5.630132675170898,250.0
186,6,5.119754314422607,365.0
