,Hour,Point,Energy
0,0,9.124545097351074,95.0
1,1,4.428311347961426,95.0
2,2,3.157834053039551,196.71737364902853
3,3,7.492631912231445,210.3647362612191
4,4,4.330336570739746,169.42264842464758
5,5,9.223458290100098,264.954186709981
6,6,9.464067459106445,365.0
7,7,7.52046012878418,346.8383623831241
8,8,8.738680839538574,224.01209887340954
9,9,5.585685729980469,114.83319797588555
10,0,9.621557235717773,95.0
11,1,8.85254192352295,113.76645404801846
12,2,5.057889938354492,199.3696414205861
13,3,7.4219841957092285,210.07003984215706
14,4,9.161937713623047,177.96884457744426
15,5,9.207871437072754,252.87163352844092
16,6,7.0602827072143555,365.0
17,7,2.2603702545166016,317.07402405786667
18,8,5.2111382484436035,220.77043826372804
19,9,1.3680169582366943,135.1672508911604
20,0,9.911982536315918,95.0
21,1,9.241446495056152,95.0
22,2,6.907268524169922,193.00115870794724
23,3,6.730254650115967,210.77764903245037
24,4,9.778858184814453,157.448178058941
25,5,1.2745327949523926,281.8836103304628
26,6,5.575289726257324,365.0
27,7,9.588607788085938,365.0
28,8,9.515228271484375,228.55413935695339
29,9,9.142898559570312,95.0
30,0,9.158136367797852,95.0
31,1,5.266715049743652,95.0
32,2,2.4592323303222656,194.69106554730158
33,3,6.011727333068848,210.5898816058554
34,4,7.575677871704102,162.89343343019402
35,5,2.174798011779785,274.18514584007056
36,6,5.677392959594727,365.0
37,7,5.584702014923096,365.0
38,8,6.393497467041016,226.48869766440913
39,9,7.754366874694824,99.29816919597887
40,0,0.16979598999023438,95.0
41,1,0.8366103172302246,95.0
42,2,2.8798558712005615,197.11128920190953
43,3,6.374985694885254,210.32096786645454
44,4,3.989628791809082,170.69193187281945
45,5,5.740606307983398,263.15968252463455
46,6,3.1720895767211914,365.0
47,7,8.74815559387207,342.4177545119046
48,8,2.6563899517059326,223.53064653099952
49,9,5.078267574310303,117.85321721463946
50,0,2.362079620361328,95.0
51,1,0.3076438903808594,95.0
52,2,2.9329707622528076,196.2617379255428
53,3,5.15949010848999,210.4153624527175
54,4,2.3806416988372803,167.95448887119358
55,5,1.4813125133514404,267.02986056141594
