Timestamp,Point,Day of Week,Out_of_Office,Presurvey,Weekly_Survey,Before_Game_Baseline,In_Game_Baseline,Energy
2018-09-27 08:00:00,9.999991416931152,4,0,4.82,1.23,8.531474358974357,58.383467901949565,78.40269118704991
2018-09-27 09:00:00,0.0,4,0,4.82,1.23,11.331923076923074,88.7856216224743,219.35482412381728
2018-09-27 10:00:00,10.0,4,0,4.82,1.23,26.189486910256413,76.83611896515488,158.4562286460474
2018-09-27 11:00:00,10.0,4,0,4.82,1.23,29.64820411525641,90.50190448115755,210.44012160954316
2018-09-27 12:00:00,9.710234642028807,4,0,4.82,1.23,29.592628205128197,53.37111433137212,116.92939699489985
2018-09-27 13:00:00,10.0,4,0,4.82,1.23,30.13596256410257,272.9531389215239,292.6803431090705
2018-09-27 14:00:00,9.999755859375,4,0,4.82,1.23,30.004745256410256,347.1611679796337,526.9249903316087
2018-09-27 15:00:00,10.0,4,0,4.82,1.23,34.311729487307694,340.39966102217636,438.8457374873712
2018-09-27 16:00:00,0.0,4,0,4.82,1.23,31.939422948717947,236.00081323294827,447.90252715456785
2018-09-27 17:00:00,0.0,4,0,4.82,1.23,30.698589743589743,126.98988734778295,272.32296437464856
2018-09-28 08:00:00,9.999839782714844,0,0,4.82,1.23,7.930641000000001,59.026167811916885,44.21571864755521
2018-09-28 09:00:00,0.0,0,0,4.82,1.23,10.78589743602564,99.70370822858078,98.78669119766941
2018-09-28 10:00:00,10.0,0,0,4.82,1.23,18.938846153846157,78.28972940355855,98.1672596836143
2018-09-28 11:00:00,0.0264129638671875,0,0,4.82,1.23,22.847948717948714,235.378296040348,251.5894250582712
2018-09-28 12:00:00,0.0,0,0,4.82,1.23,26.524358974358968,66.17858238934927,203.26893886624202
2018-09-28 13:00:00,10.0,0,0,4.82,1.23,24.31500001282052,130.9047338988897,165.1891523387761
2018-09-28 14:00:00,10.0,0,0,4.82,1.23,25.474807807692304,360.9686872992781,326.0644415618029
2018-09-28 15:00:00,9.99980926513672,0,0,4.82,1.23,26.893204987179484,364.73217828295265,245.90028091715809
2018-09-28 16:00:00,0.0,0,0,4.82,1.23,26.57064103846153,244.60165123846662,253.70326939353131
2018-09-28 17:00:00,0.0,0,0,4.82,1.23,26.405970256410257,132.6553904797381,141.23810116471375
2018-09-29 08:00:00,9.99773120880127,2,1,4.82,1.23,6.560512782179488,101.82299299740649,0.0
2018-09-29 09:00:00,0.0,2,1,4.82,1.23,6.4612820769230765,170.80459157009233,0.0
2018-09-29 10:00:00,10.0,2,1,4.82,1.23,6.5220512948717975,137.42235309118533,0.0
2018-09-29 11:00:00,10.0,2,1,4.82,1.23,7.012564089743588,149.64361175965064,0.0
2018-09-29 12:00:00,9.857304573059082,2,1,4.82,1.23,10.323203846153849,107.68254385265644,0.0
2018-09-29 13:00:00,10.0,2,1,4.82,1.23,8.487565384615385,235.1768829413021,0.0
2018-09-29 14:00:00,9.999164581298828,2,1,4.82,1.23,10.878719089743589,458.4599069875252,8.484945955918668
2018-09-29 15:00:00,2.002194881439209,2,1,4.82,1.23,10.176409115384617,348.86639350511393,8.441276063874097
2018-09-29 16:00:00,0.0,2,1,4.82,1.23,11.0275641025641,359.91137124433413,0.0
2018-09-29 17:00:00,0.0,2,1,4.82,1.23,11.056923076923082,220.28107800634385,0.0
2018-09-30 08:00:00,9.99996280670166,3,0,4.82,1.23,6.526794897435898,33.34901194895443,57.93557283163771
2018-09-30 09:00:00,0.0,3,0,4.82,1.23,6.1715384615384625,104.86406119108416,121.56963375018616
2018-09-30 10:00:00,10.0,3,0,4.82,1.23,6.655641012820514,63.98992003815032,104.50198186365064
2018-09-30 11:00:00,0.0003294944763183594,3,0,4.82,1.23,6.773974371794873,84.76402489824844,251.77913215777443
2018-09-30 12:00:00,0.0,3,0,4.82,1.23,7.644743602564103,160.5279849667871,227.98788758850102
2018-09-30 13:00:00,10.0,3,0,4.82,1.23,7.025129461538459,122.95599272350609,184.31773722173958
2018-09-30 14:00:00,10.0,3,0,4.82,1.23,7.214229512820514,288.4701385113724,380.96027282734207
2018-09-30 15:00:00,9.937807083129883,3,0,4.82,1.23,7.133589743589742,301.95318575601885,271.326723945786
2018-09-30 16:00:00,0.0,3,0,4.82,1.23,5.554230756410253,221.6318626821917,288.373095081139
2018-09-30 17:00:00,0.0,3,0,4.82,1.23,7.786860256410253,110.76682310879791,153.1522082632406
2018-10-01 08:00:00,10.0,1,0,4.82,4.6,5.949807653846152,75.8366609750695,50.59158719779417
2018-10-01 09:00:00,0.0,1,0,4.82,4.6,11.048076935897436,124.4356187632985,136.1954919150761
2018-10-01 10:00:00,10.0,1,0,4.82,4.6,20.65320498717949,92.44286794845017,96.93116893420904
2018-10-01 11:00:00,10.0,1,0,4.82,4.6,27.247948717948717,94.62214979896449,124.77894230173086
2018-10-01 12:00:00,8.640420913696289,1,0,4.82,4.6,28.968846038461532,202.9782199108172,95.15396744374522
2018-10-01 13:00:00,6.390860557556152,1,0,4.82,4.6,26.78608985897436,310.33697103162075,262.783279826421
2018-10-01 14:00:00,10.0,1,0,4.82,4.6,26.64153858974359,366.58326154078003,401.19090100083764
2018-10-01 15:00:00,9.92867660522461,1,0,4.82,4.6,27.686538461538454,408.18997006253625,327.6092549722096
2018-10-01 16:00:00,0.0,1,0,4.82,4.6,29.074935897435893,279.2232499373844,309.5659054303688
2018-10-01 17:00:00,0.0,1,0,4.82,4.6,30.39,157.84367343058545,179.59881739791595
2018-10-02 08:00:00,10.0,5,0,4.82,4.6,9.958076923076923,46.672418263627655,64.67655279957975
