,Hour,Point,Energy
0,0,5.684511184692383,95.0
1,1,7.519556999206543,120.0
2,2,7.558346271514893,200.0
3,3,7.181492805480957,210.0
4,4,4.95785665512085,180.0
5,5,7.069807529449463,250.0
6,6,7.846757888793945,365.0
7,7,8.747442245483398,310.0
8,8,4.206713676452637,220.0
9,9,9.220829010009766,140.0
10,0,9.104988098144531,95.0
11,1,4.621001243591309,120.0
12,2,8.64501953125,200.0
13,3,2.1883976459503174,210.0
14,4,2.167285442352295,180.0
15,5,3.566744327545166,250.0
16,6,4.286153793334961,365.0
17,7,8.319679260253906,310.0
18,8,9.50268840789795,220.0
19,9,8.104379653930664,140.0
20,0,7.930749893188477,95.0
21,1,5.579158306121826,120.0
22,2,9.273993492126465,200.0
23,3,5.848603248596191,210.0
24,4,9.909146308898926,180.0
25,5,6.6287150382995605,250.0
26,6,8.90009593963623,365.0
27,7,2.4399948120117188,310.0
28,8,5.114921569824219,220.0
29,9,3.543272018432617,140.0
30,0,9.081604957580566,95.0
31,1,6.000088214874268,120.0
32,2,2.6970813274383545,200.0
33,3,6.567561149597168,210.0
34,4,3.788694381713867,180.0
35,5,6.361116409301758,250.0
36,6,6.8341169357299805,365.0
37,7,1.2016334533691406,310.0
38,8,8.936898231506348,220.0
39,9,3.1912779808044434,140.0
40,0,7.124865531921387,95.0
41,1,9.490238189697266,120.0
42,2,2.6066229343414307,200.0
43,3,9.890316009521484,210.0
44,4,1.3139514923095703,180.0
45,5,1.958038568496704,250.0
46,6,8.798770904541016,365.0
47,7,2.9622862339019775,310.0
48,8,1.8326258659362793,220.0
49,9,3.3176040649414062,140.0
50,0,5.936612606048584,95.0
51,1,8.685174942016602,120.0
52,2,0.798367977142334,200.0
53,3,7.44368839263916,210.0
54,4,2.0970311164855957,180.0
55,5,9.756830215454102,250.0
56,6,9.884248733520508,365.0
57,7,7.508603096008301,310.0
58,8,4.4242377281188965,220.0
59,9,2.2578635215759277,140.0
60,0,1.8158807754516602,95.0
61,1,7.034926414489746,120.0
62,2,9.726387023925781,200.0
63,3,1.8350460529327393,210.0
64,4,6.765695571899414,180.0
65,5,6.254156589508057,250.0
66,6,9.56014633178711,365.0
67,7,3.202347755432129,310.0
68,8,3.7303073406219482,220.0
69,9,8.793245315551758,140.0
70,0,2.413428783416748,95.0
71,1,0.7502732276916504,120.0
72,2,5.663978099822998,200.0
73,3,8.014315605163574,210.0
74,4,5.645181179046631,180.0
75,5,8.30015754699707,250.0
76,6,9.601483345031738,365.0
77,7,2.779604911804199,310.0
78,8,4.337932586669922,220.0
79,9,6.256808757781982,140.0
80,0,5.883081912994385,95.0
81,1,6.819903373718262,120.0
82,2,6.95576286315918,200.0
83,3,7.758063793182373,210.0
84,4,4.116026878356934,180.0
85,5,3.0716567039489746,250.0
86,6,3.201003074645996,365.0
87,7,8.641759872436523,310.0
88,8,4.695502281188965,220.0
89,9,6.0872321128845215,140.0
90,0,9.24082088470459,95.0
91,1,6.186640739440918,120.0
92,2,5.5161237716674805,200.0
93,3,2.790767192840576,210.0
94,4,2.4671080112457275,180.0
95,5,1.3501560688018799,250.0
96,6,9.372541427612305,365.0
97,7,1.313849925994873,310.0
98,8,9.680167198181152,220.0
99,9,2.678997278213501,140.0
100,0,0.19570446014404297,95.0
101,1,9.122364044189453,120.0
102,2,6.857665061950684,200.0
103,3,9.154241561889648,210.0
104,4,9.519570350646973,180.0
105,5,9.364816665649414,250.0
106,6,9.292369842529297,365.0
107,7,9.88640022277832,310.0
108,8,2.2768843173980713,220.0
109,9,7.296355724334717,140.0
110,0,9.272454261779785,95.0
111,1,7.91370964050293,120.0
112,2,9.490866661071777,200.0
113,3,1.9992542266845703,210.0
114,4,2.651556968688965,180.0
115,5,3.4698522090911865,250.0
116,6,9.959013938903809,365.0
117,7,0.8061809539794922,310.0
118,8,2.6340219974517822,220.0
119,9,9.214179992675781,140.0
120,0,1.4026548862457275,95.0
121,1,5.890384197235107,120.0
122,2,7.942403793334961,200.0
123,3,8.200660705566406,210.0
124,4,5.872089385986328,180.0
125,5,0.40596580505371094,250.0
126,6,0.30049562454223633,365.0
127,7,9.921318054199219,310.0
128,8,8.081405639648438,220.0
129,9,6.902929306030273,140.0
130,0,3.756124973297119,95.0
131,1,9.933536529541016,120.0
132,2,3.9493818283081055,200.0
133,3,0.43337392807006836,210.0
134,4,3.2753632068634033,180.0
135,5,1.0707118511199951,250.0
136,6,6.224162578582764,365.0
137,7,7.211923122406006,310.0
138,8,0.8083968162536621,220.0
139,9,2.5886194705963135,140.0
140,0,8.095943450927734,95.0
141,1,1.2162885665893555,120.0
142,2,1.1732447147369385,200.0
143,3,8.980506896972656,210.0
144,4,3.90704607963562,180.0
145,5,5.955094814300537,250.0
146,6,6.756405830383301,365.0
147,7,7.672464370727539,310.0
148,8,0.3987727165222168,220.0
149,9,2.1767568588256836,140.0
150,0,5.239134788513184,95.0
151,1,8.883465766906738,120.0
152,2,8.855466842651367,200.0
153,3,2.2132813930511475,210.0
154,4,2.621401786804199,180.0
155,5,7.9393815994262695,250.0
156,6,6.970324516296387,365.0
157,7,7.048142433166504,310.0
158,8,5.901735782623291,220.0
159,9,4.387434482574463,140.0
160,0,1.7262072563171387,95.0
161,1,2.383777141571045,120.0
162,2,0.062252044677734375,200.0
163,3,0.42290830612182617,210.0
164,4,8.06132984161377,180.0
165,5,8.319526672363281,250.0
166,6,5.647921085357666,365.0
167,7,4.211694240570068,310.0
168,8,3.900196075439453,220.0
169,9,1.3907339572906494,140.0
170,0,4.007870197296143,95.0
171,1,0.9692111015319824,120.0
172,2,1.2559123039245605,200.0
173,3,2.9675862789154053,210.0
174,4,1.5789551734924316,180.0
175,5,3.633098602294922,250.0
176,6,0.18937206268310547,365.0
177,7,7.571487903594971,310.0
178,8,6.916354179382324,220.0
179,9,1.1928155422210693,140.0
180,0,9.714923858642578,95.0
181,1,8.774106979370117,120.0
182,2,9.186595916748047,200.0
183,3,7.354196548461914,210.0
184,4,8.511432647705078,180.0
185,5,8.538651466369629,250.0
186,6,6.829368591308594,365.0
187,7,0.1774916648864746,310.0
188,8,0.4263439178466797,220.0
189,9,2.4974429607391357,140.0
190,0,5.712109565734863,95.0
191,1,0.5600171089172363,120.0
192,2,2.8619799613952637,200.0
193,3,3.1743381023406982,210.0
194,4,7.050414085388184,180.0
195,5,4.529842376708984,250.0
196,6,0.7941122055053711,365.0
197,7,2.3174567222595215,310.0
198,8,7.517343521118164,220.0
199,9,1.4220311641693115,140.0
200,0,1.394219160079956,95.0
201,1,0.5048494338989258,120.0
202,2,0.43739748001098633,200.0
203,3,0.06625556945800781,210.0
204,4,3.7846131324768066,180.0
205,5,0.5947761535644531,250.0
206,6,5.0167341232299805,365.0
207,7,7.365342140197754,310.0
208,8,9.3729887008667,220.0
209,9,1.098890781402588,140.0
210,0,0.9474573135375977,95.0
211,1,2.4727656841278076,120.0
212,2,9.445405960083008,200.0
213,3,0.9025769233703613,210.0
214,4,3.8768773078918457,180.0
215,5,0.8822841644287109,250.0
216,6,8.905996322631836,365.0
217,7,3.5365450382232666,310.0
218,8,5.410433292388916,220.0
219,9,3.629321813583374,140.0
220,0,5.87857723236084,95.0
221,1,2.967216730117798,120.0
222,2,2.8863840103149414,200.0
223,3,0.5065326690673828,210.0
224,4,6.070906162261963,180.0
225,5,9.017646789550781,250.0
226,6,6.639904975891113,365.0
227,7,3.5855648517608643,310.0
228,8,8.865673065185547,220.0
229,9,2.176189422607422,140.0
230,0,3.7562742233276367,95.0
231,1,6.33564567565918,120.0
232,2,2.4496750831604004,200.0
233,3,6.892548561096191,210.0
234,4,4.896735191345215,180.0
235,5,5.881026744842529,250.0
236,6,4.322600364685059,365.0
237,7,0.13506603240966797,310.0
238,8,7.252765655517578,220.0
239,9,0.08826828002929688,140.0
240,0,6.368872165679932,95.0
241,1,0.9335451126098633,120.0
242,2,5.34077262878418,200.0
243,3,2.8836259841918945,210.0
244,4,0.1737828254699707,180.0
245,5,2.0220327377319336,250.0
246,6,3.555128574371338,365.0
247,7,7.39046573638916,310.0
248,8,2.1542773246765137,220.0
249,9,0.4009108543395996,140.0
250,0,8.282524108886719,95.0
251,1,1.5204670429229736,120.0
252,2,3.5284430980682373,200.0
253,3,2.356358051300049,210.0
254,4,8.170757293701172,180.0
255,5,4.545144557952881,250.0
256,6,0.5881171226501465,365.0
257,7,6.460344314575195,310.0
258,8,8.962604522705078,220.0
259,9,9.252328872680664,140.0
260,0,7.092516899108887,95.0
261,1,0.7530598640441895,120.0
262,2,5.0124592781066895,200.0
263,3,0.852694034576416,210.0
264,4,4.3437371253967285,180.0
265,5,4.004241943359375,250.0
266,6,1.4923417568206787,365.0
267,7,7.275712490081787,310.0
268,8,4.74647331237793,220.0
269,9,6.126332759857178,140.0
270,0,7.490525245666504,95.0
271,1,2.05645751953125,120.0
272,2,9.508070945739746,200.0
273,3,0.24303483963012695,210.0
274,4,0.15174293518066406,180.0
275,5,7.805858612060547,250.0
276,6,8.415332794189453,365.0
277,7,5.052626609802246,310.0
278,8,8.641982078552246,220.0
279,9,7.304197311401367,140.0
280,0,0.7243852615356445,95.0
281,1,6.330326080322266,120.0
282,2,7.913773536682129,200.0
283,3,6.498007774353027,210.0
284,4,2.613173484802246,180.0
285,5,0.6046857833862305,250.0
286,6,1.520432472229004,365.0
287,7,8.453227996826172,310.0
288,8,1.2171549797058105,220.0
289,9,3.292917251586914,140.0
290,0,9.748693466186523,95.0
291,1,0.4928627014160156,120.0
292,2,1.0190653800964355,200.0
293,3,0.24671697616577148,210.0
294,4,5.943385124206543,180.0
295,5,4.9239501953125,250.0
296,6,0.4199843406677246,365.0
297,7,5.447248935699463,310.0
298,8,3.1146504878997803,220.0
299,9,1.8565926551818848,140.0
