Time Around Treatment,Treatment Number,Date,Day of Week,Hour,WorkGroup,Desk,TotalEnergy,Desk_Indicator,NetEnergy,Name,Deviation,Treatment0,Treatment1,Treatment2,Weekend_Indicator,Treatment_Indicator,cTAT,TreatmentArray,LoginCount,DurationCount
2,1,2018-07-31,Tuesday,9.0,WORKGROUP-01,DESK-3,268.7,13,0.0,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,10.0,WORKGROUP-01,DESK-3,1.86,13,0.0,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,11.0,WORKGROUP-01,DESK-3,3.72,13,1.86,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,12.0,WORKGROUP-01,DESK-3,5.58,13,1.8599999999999999,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,13.0,WORKGROUP-01,DESK-3,7.44,13,1.8600000000000003,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,14.0,WORKGROUP-01,DESK-3,9.3,13,1.8600000000000003,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,15.0,WORKGROUP-01,DESK-3,11.16,13,1.8599999999999994,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,16.0,WORKGROUP-01,DESK-3,13.01,13,1.8499999999999996,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,17.0,WORKGROUP-01,DESK-3,14.84,13,1.83,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,18.0,WORKGROUP-01,DESK-3,17.25,13,2.41,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,19.0,WORKGROUP-01,DESK-3,17.25,13,0.0,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,20.0,WORKGROUP-01,DESK-3,168.4,13,151.15,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,21.0,WORKGROUP-01,DESK-3,247.52,13,79.12,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,22.0,WORKGROUP-01,DESK-3,284.79,13,37.27000000000001,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,23.0,WORKGROUP-01,DESK-3,356.48,13,71.69,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
3,1,2018-08-01,Wednesday,0.0,WORKGROUP-01,DESK-3,403.71,13,47.22999999999996,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,1.0,WORKGROUP-01,DESK-3,470.56,13,66.85000000000002,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,2.0,WORKGROUP-01,DESK-3,541.8,13,71.23999999999995,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,3.0,WORKGROUP-01,DESK-3,614.51,13,72.71000000000004,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
3,1,2018-08-01,Wednesday,4.0,WORKGROUP-01,DESK-3,680.98,13,66.47000000000003,Ken,169.93,A,A,B,0,0,-1,A,11.0,35.0
