,Action Vector,Energy Used
20,"[[0.05461359]
 [0.02680016]
 [0.01363802]
 [0.02795267]
 [0.01527596]
 [0.08295584]
 [0.0839591 ]
 [0.02891111]
 [0.03392792]
 [0.00638866]]","[ 95.          95.         193.73882984 210.69568557 159.82511839
 278.52310849 365.         365.         227.6525413   95.        ]"
21,"[[0.05106926]
 [0.0519166 ]
 [0.03409243]
 [0.02042818]
 [0.01117802]
 [0.01785374]
 [0.018085  ]
 [0.00563669]
 [0.05644608]
 [0.0174017 ]]","[ 95.          95.         194.33109067 210.62987881 161.73351439
 275.82503138 365.         365.         226.92866696  96.53836182]"
22,"[[0.02319241]
 [0.01163673]
 [0.00455284]
 [0.02343082]
 [0.01462555]
 [0.02071524]
 [0.00830269]
 [0.02707577]
 [0.0139122 ]
 [0.00412416]]","[ 95.         108.82183358 198.86962362 210.12559738 176.35767611
 255.14949239 365.         322.68533492 221.38157113 131.33378109]"
23,"[[0.0223937 ]
 [0.00770283]
 [0.01938009]
 [0.03285694]
 [0.00981855]
 [0.02315044]
 [0.0233407 ]
 [0.01429605]
 [0.00390863]
 [0.08644915]]","[ 95.          95.         194.94390285 210.56178857 163.70813139
 273.03333148 365.         365.         226.1796743  101.23658849]"
24,"[[0.00424242]
 [0.0176177 ]
 [0.00866652]
 [0.02595186]
 [0.02749586]
 [0.05330753]
 [0.03880978]
 [0.22097683]
 [0.00471067]
 [0.00871468]]","[ 95.          95.         193.08757684 210.76804702 157.72663649
 281.48992772 365.         365.         228.44851719  95.        ]"
25,"[[0.233603  ]
 [0.01185179]
 [0.01196003]
 [0.12494659]
 [0.03098869]
 [0.0773592 ]
 [0.14267969]
 [0.08457947]
 [0.00714779]
 [0.01575375]]","[ 95.          95.         194.75454168 210.5828287  163.09796765
 273.89597678 365.         365.         226.41111572  99.78481957]"
26,"[[0.0172143 ]
 [0.03116894]
 [1.5111902 ]
 [1.3020527 ]
 [2.1426222 ]
 [1.7986608 ]
 [2.1728814 ]
 [1.9416289 ]
 [2.1455703 ]
 [2.2181363 ]]","[ 95.          95.         194.06895138 210.6590054  160.88884332
 277.01922151 365.         365.         227.24905943  95.        ]"
27,"[[2.3269918]
 [1.763916 ]
 [1.9917626]
 [1.9162717]
 [2.3858056]
 [1.9415278]
 [2.0245469]
 [2.0368972]
 [1.9573748]
 [2.0904443]]","[ 95.          95.         194.22415282 210.6417608  161.38893685
 276.31219273 365.         365.         227.05936878  95.71850492]"
28,"[[2.5207503]
 [1.8530271]
 [2.035211 ]
 [2.0464573]
 [2.3430145]
 [2.0853581]
 [2.2254322]
 [1.6409035]
 [1.5991645]
 [2.0062873]]","[ 95.          95.31268036 197.50352947 210.27738561 171.9558172
 261.37281017 365.         338.01594701 223.05124175 120.86039264]"
29,"[[1.7399707]
 [1.8571184]
 [1.87168  ]
 [1.6008916]
 [2.0342402]
 [1.9627535]
 [1.5701008]
 [2.0031357]
 [2.0449302]
 [1.6375885]]","[ 95.          95.         192.9264823  210.78594641 157.20755407
 282.22380287 365.         365.         228.64541053  95.        ]"
