,Hour,Point,Energy
0,0,0.9988255500793457,95.0
1,1,1.8553690910339355,120.0
2,2,0.2016901969909668,200.0
3,3,0.5883851051330566,210.0
4,4,1.5702567100524902,180.0
5,5,1.1931753158569336,250.0
6,6,3.448284864425659,365.0
7,7,1.6742980480194092,310.0
8,8,0.26705408096313477,220.0
9,9,0.024724483489990234,140.0
10,0,0.10695505142211914,95.0
11,1,0.30212926864624023,120.0
12,2,0.17562437057495117,200.0
13,3,0.26537227630615234,210.0
14,4,2.840862274169922,180.0
15,5,0.4531364440917969,250.0
16,6,2.143002510070801,365.0
17,7,2.8330061435699463,310.0
18,8,0.2242431640625,220.0
19,9,7.156085968017578,140.0
20,0,0.9272489547729492,95.0
21,1,0.3394436836242676,120.0
22,2,0.19590330123901367,200.0
23,3,0.031052112579345703,210.0
24,4,0.8084888458251953,180.0
25,5,2.1975257396698,250.0
26,6,5.045653820037842,365.0
27,7,0.648322582244873,310.0
28,8,3.6552000045776367,220.0
29,9,3.3415989875793457,140.0
30,0,0.7195706367492676,95.0
31,1,2.768545389175415,120.0
32,2,4.114916801452637,200.0
33,3,3.2329273223876953,210.0
34,4,1.7892932891845703,180.0
35,5,0.761871337890625,250.0
36,6,6.347048282623291,365.0
37,7,5.376160144805908,310.0
38,8,4.216573238372803,220.0
39,9,0.5669169425964355,140.0
40,0,7.05936336517334,95.0
41,1,2.271587610244751,120.0
42,2,7.820940017700195,200.0
43,3,4.975636005401611,210.0
44,4,5.663969039916992,180.0
45,5,0.6348600387573242,250.0
46,6,2.4328503608703613,365.0
47,7,3.9956536293029785,310.0
48,8,6.075954914093018,220.0
49,9,7.5191450119018555,140.0
50,0,7.084775447845459,95.0
51,1,4.268744468688965,120.0
52,2,1.7457995414733887,200.0
53,3,7.218881607055664,210.0
54,4,6.226437091827393,180.0
55,5,5.474196434020996,250.0
56,6,5.049839973449707,365.0
57,7,9.434772491455078,310.0
58,8,3.9006996154785156,220.0
59,9,8.22632884979248,140.0
60,0,7.836194038391113,95.0
61,1,5.603605270385742,120.0
62,2,2.9032740592956543,200.0
63,3,6.7339630126953125,210.0
64,4,8.567814826965332,180.0
65,5,4.38747501373291,250.0
66,6,9.557108879089355,365.0
67,7,5.563640117645264,310.0
68,8,6.005127906799316,220.0
69,9,6.377425193786621,140.0
70,0,2.6307740211486816,95.0
71,1,8.818857192993164,120.0
72,2,6.964809417724609,200.0
73,3,7.878772735595703,210.0
74,4,3.854304075241089,180.0
75,5,8.217355728149414,250.0
76,6,7.675532341003418,365.0
77,7,8.77883243560791,310.0
78,8,5.643028736114502,220.0
79,9,8.039134979248047,140.0
80,0,7.429709434509277,95.0
81,1,5.7790608406066895,120.0
82,2,9.627398490905762,200.0
83,3,2.3641772270202637,210.0
84,4,8.922486305236816,180.0
85,5,5.072124481201172,250.0
86,6,9.638301849365234,365.0
87,7,9.119729995727539,310.0
88,8,7.609357833862305,220.0
89,9,9.563785552978516,140.0
90,0,4.066266059875488,95.0
91,1,5.522483825683594,120.0
92,2,8.810574531555176,200.0
93,3,8.189521789550781,210.0
94,4,9.594572067260742,180.0
95,5,0.35363101959228516,250.0
96,6,3.1093101501464844,365.0
97,7,3.659095287322998,310.0
98,8,7.383074760437012,220.0
99,9,9.60400676727295,140.0
100,0,7.3449225425720215,95.0
101,1,3.598447799682617,120.0
102,2,7.588489532470703,200.0
103,3,4.905989170074463,210.0
104,4,1.1111578941345215,180.0
105,5,9.632290840148926,250.0
106,6,7.859736919403076,365.0
107,7,0.6970338821411133,310.0
108,8,3.1347875595092773,220.0
109,9,8.594072341918945,140.0
110,0,5.964427471160889,95.0
111,1,9.645166397094727,120.0
112,2,1.0827243328094482,200.0
113,3,9.028878211975098,210.0
114,4,7.669445991516113,180.0
115,5,6.328038692474365,250.0
116,6,3.3031516075134277,365.0
117,7,8.970340728759766,310.0
118,8,6.3005290031433105,220.0
119,9,8.402776718139648,140.0
120,0,6.583431243896484,95.0
121,1,6.746273994445801,120.0
122,2,2.651019334793091,200.0
123,3,6.6735076904296875,210.0
124,4,2.547179698944092,180.0
125,5,9.874104499816895,250.0
126,6,4.445565700531006,365.0
127,7,7.036606311798096,310.0
128,8,9.49751091003418,220.0
129,9,1.5741157531738281,140.0
130,0,8.059259414672852,95.0
131,1,3.580484390258789,120.0
132,2,8.173558235168457,200.0
133,3,9.112485885620117,210.0
134,4,6.877248764038086,180.0
135,5,4.094727516174316,250.0
136,6,6.570082664489746,365.0
137,7,4.762450695037842,310.0
138,8,9.536800384521484,220.0
139,9,9.717168807983398,140.0
140,0,2.1436281204223633,95.0
141,1,9.119415283203125,120.0
142,2,4.126235485076904,200.0
143,3,5.288358211517334,210.0
144,4,9.339885711669922,180.0
145,5,7.847372055053711,250.0
146,6,8.084619522094727,365.0
147,7,6.296938419342041,310.0
148,8,8.19208812713623,220.0
149,9,1.4183979034423828,140.0
150,0,3.982447624206543,95.0
151,1,9.703006744384766,120.0
152,2,6.152858257293701,200.0
153,3,5.224663257598877,210.0
154,4,8.086620330810547,180.0
155,5,3.9813485145568848,250.0
156,6,6.5177226066589355,365.0
157,7,9.833320617675781,310.0
158,8,6.074160575866699,220.0
159,9,2.072957992553711,140.0
160,0,0.4714689254760742,95.0
161,1,6.003525733947754,120.0
162,2,1.8393385410308838,200.0
163,3,7.218858242034912,210.0
164,4,8.314935684204102,180.0
165,5,5.3053107261657715,250.0
166,6,8.713997840881348,365.0
167,7,3.577486038208008,310.0
168,8,9.880462646484375,220.0
169,9,4.854090213775635,140.0
170,0,8.916154861450195,95.0
171,1,8.725521087646484,120.0
172,2,6.363614082336426,200.0
173,3,6.948504447937012,210.0
174,4,9.610109329223633,180.0
175,5,9.45344352722168,250.0
176,6,6.5966596603393555,365.0
177,7,4.656962871551514,310.0
178,8,4.940509796142578,220.0
179,9,2.3798630237579346,140.0
180,0,8.29895305633545,95.0
181,1,8.779138565063477,120.0
182,2,9.824857711791992,200.0
183,3,9.314022064208984,210.0
184,4,7.963099479675293,180.0
185,5,8.900561332702637,250.0
186,6,8.548507690429688,365.0
187,7,2.1619198322296143,310.0
188,8,0.6656374931335449,220.0
189,9,5.652497291564941,140.0
190,0,3.9926822185516357,95.0
191,1,8.597373008728027,120.0
192,2,5.832966327667236,200.0
193,3,5.601316452026367,210.0
194,4,4.798410415649414,180.0
195,5,7.996428966522217,250.0
196,6,9.46402359008789,365.0
197,7,2.217021942138672,310.0
198,8,5.243424415588379,220.0
199,9,8.002972602844238,140.0
200,0,1.2486412525177002,95.0
201,1,1.657238483428955,120.0
202,2,4.272042274475098,200.0
203,3,5.330038070678711,210.0
204,4,8.808865547180176,180.0
205,5,9.278820037841797,250.0
206,6,7.950584411621094,365.0
