,Hour,Point,Energy
0,0,2.74958872795105,95.0
1,1,0.5529284477233887,117.40388548309832
2,2,4.863523483276367,199.73747156570656
3,3,9.704593658447266,210.0291698260326
4,4,1.4717278480529785,179.1540750450545
5,5,8.271260261535645,251.1959628673367
6,6,1.249912977218628,365.0
7,7,0.39548778533935547,312.9461524292929
8,8,3.6733760833740234,220.32086808635862
9,9,0.5923700332641602,137.98728200375038
10,0,8.321981430053711,95.0
11,1,9.441125869750977,95.0
12,2,9.378280639648438,196.8647899993791
13,3,7.866369247436523,210.3483566667357
14,4,7.718154430389404,169.8976566646659
15,5,6.8719258308410645,264.282623336162
16,6,9.843420028686523,365.0
17,7,9.745746612548828,345.1840233403014
18,8,9.487374305725098,223.8319233340922
19,9,5.3996500968933105,115.96338999523961
20,0,5.470287322998047,95.0
21,1,7.6484198570251465,95.0
22,2,8.561978340148926,193.3918953925956
23,3,7.200325012207031,210.73423384526717
24,4,8.644968032836914,158.70721848725236
25,5,9.577943801879883,280.1035876559535
26,6,9.426958084106445,365.0
27,7,6.833020210266113,365.0
28,8,9.872343063354492,228.07657229793875
29,9,8.8485689163208,95.0
30,0,8.776571273803711,95.0
31,1,9.755270957946777,95.0
32,2,9.599671363830566,192.22836206310123
33,3,8.86507797241211,210.86351532632213
34,4,4.342976093292236,154.95805553665937
35,5,6.7112908363342285,285.40412837920576
36,6,7.695982933044434,365.0
37,7,3.781370162963867,365.0
38,8,9.615894317626953,229.49866858954303
39,9,9.684637069702148,95.0
40,0,3.8669862747192383,95.0
41,1,3.914320468902588,95.0
42,2,7.675007343292236,192.4042743615046
43,3,8.3980073928833,210.84396951538838
44,4,7.395623207092285,155.52488405373717
45,5,1.5935935974121094,284.60275013092337
46,6,9.571771621704102,365.0
47,7,9.114458084106445,365.0
48,8,8.369159698486328,229.28366466927216
49,9,9.565755844116211,95.0
50,0,3.697057008743286,95.0
51,1,9.399789810180664,118.88997914990726
52,2,9.33405876159668,199.88775070055246
53,3,0.46073246002197266,210.01247214438308
54,4,0.7028317451477051,179.6383078128911
55,5,8.266698837280273,250.5113579197057
56,6,6.295952320098877,365.0
57,7,2.1632213592529297,311.25968658268954
58,8,3.591050624847412,220.1371935882137
59,9,0.25745677947998047,139.13942203756855
60,0,2.634361982345581,95.0
61,1,4.966684818267822,103.28355118113475
62,2,1.1332223415374756,198.30957259135067
63,3,0.7366199493408203,210.1878252676277
64,4,4.775651931762695,174.55306723879673
65,5,3.063230514526367,257.7008359727356
66,6,5.909881591796875,365.0
67,7,9.575770378112793,328.9703520303976
68,8,1.9317865371704102,222.06607794390467
69,9,3.304819345474243,127.04005653368878
70,0,8.805157661437988,95.0
71,1,2.5930745601654053,95.0
72,2,5.736420631408691,196.71181963371623
73,3,2.0373284816741943,210.3653533740316
74,4,8.027376174926758,169.40475215308558
75,5,9.359825134277344,264.97948833529284
76,6,2.342238187789917,365.0
77,7,0.4210071563720703,346.90069077718465
78,8,1.0673282146453857,224.01888711434685
79,9,5.592607498168945,114.79061719182434
80,0,4.818714141845703,95.0
81,1,6.3646769523620605,95.0
82,2,8.145182609558105,193.78350499429814
83,3,3.462696075439453,210.69072166730024
84,4,2.192247152328491,159.96907164829398
85,5,2.6829686164855957,278.3195883593085
86,6,4.790179252624512,365.0
87,7,2.862684488296509,365.0
88,8,3.1233816146850586,227.5979383403023
89,9,8.53841495513916,95.0
90,0,7.032694339752197,95.0
91,1,3.112229824066162,98.82049723010252
92,2,7.049321174621582,197.8582525288868
93,3,6.888472557067871,210.23797194123478
94,4,2.9391672611236572,173.0988137041907
95,5,9.154850006103516,259.7568495906269
96,6,6.670367240905762,365.0
97,7,7.219412803649902,334.03516606471516
98,8,6.257108211517334,222.6176913535828
99,9,4.017549514770508,123.57993605479854
100,0,1.6073040962219238,95.0
101,1,1.6828999519348145,95.0
102,2,5.682089328765869,197.4160633445416
103,3,2.260807752609253,210.2871040728287
104,4,3.151033878326416,171.67398188796753
105,5,3.808971881866455,261.771266985977
106,6,4.418156623840332,365.0
107,7,2.611851453781128,338.9975113556994
108,8,3.481297731399536,223.15814480111572
109,9,4.661996841430664,120.18981897481922
110,0,6.254304885864258,95.0
111,1,4.17262601852417,95.0
112,2,7.947750568389893,195.87341997587188
113,3,3.180861473083496,210.45850889156983
114,4,6.181250095367432,166.70324214447604
115,5,1.9860875606536865,268.7988645543615
116,6,0.5552887916564941,365.0
117,7,5.087208271026611,356.30939804854904
118,8,2.7609293460845947,225.04359780726776
119,9,6.570296287536621,108.3628864816844
120,0,6.999654769897461,95.0
121,1,2.063483953475952,95.0
122,2,6.874762058258057,195.1681756504979
123,3,2.9711050987243652,210.53686937216688
124,4,5.325204372406006,164.43078820715982
125,5,5.67914342880249,272.01164425884303
126,6,2.8256685733795166,365.0
127,7,7.589685916900635,364.22380658885726
128,8,2.837294578552246,225.90556309383598
129,9,7.300926208496094,102.95601332048365
130,0,3.0777485370635986,95.0
131,1,9.397733688354492,95.0
132,2,1.6603519916534424,195.99276622731952
133,3,4.143179416656494,210.4452481969645
134,4,5.181478023529053,167.0878022880295
135,5,4.854697227478027,268.2551760755445
136,6,4.962643146514893,365.0
137,7,1.3285980224609375,354.97006789341447
138,8,4.912320613861084,224.89773016660953
139,9,6.438816070556641,109.27787440944961
140,0,1.3375017642974854,95.0
141,1,3.537524700164795,117.3368581269534
142,2,1.3631963729858398,199.73069351845595
143,3,1.544797658920288,210.02992294239377
144,4,3.189727544784546,179.13223467058035
145,5,1.1823530197143555,251.226840638145
146,6,6.954978942871094,365.0
147,7,2.357553005218506,313.02221718177196
148,8,2.10921573638916,220.32915236633156
149,9,0.6072196960449219,137.93531697482902
150,0,1.9371459484100342,95.0
151,1,2.7813336849212646,104.15811078339888
152,2,2.395662784576416,198.3980112028156
153,3,2.589700698852539,210.17799875524273
154,4,4.586938381195068,174.83803609796144
155,5,3.256178855895996,257.2979489649511
156,6,3.066516399383545,365.0
157,7,1.8670859336853027,327.9778742795136
158,8,3.3475112915039062,221.95798630766984
159,9,3.158045768737793,127.71808588825307
160,0,0.9110159873962402,95.0
161,1,3.2800002098083496,101.64205711617002
162,2,3.2218141555786133,198.14357880950035
163,3,3.033054828643799,210.20626902116666
164,4,2.888296127319336,174.01819838616777
165,5,3.750680446624756,258.4570298678318
166,6,4.969193935394287,365.0
167,7,4.076357841491699,330.83317113782954
168,8,2.6155009269714355,222.26895923283294
169,9,3.573848247528076,125.76743753950265
170,0,1.497060775756836,95.0
171,1,1.975733995437622,109.72556315954468
172,2,3.01472544670105,198.9610120048978
173,3,2.4246408939361572,210.11544311056693
174,4,1.6054301261901855,176.65214979355954
175,5,1.6366446018218994,254.73316753324346
